Persian,Latin
ABL,abel able abul
ABLARDV,abelardo
ABLT,ablett
ABRAHAMZ,abrahams
ABRLY,eberly
ABRNATY,abernathy
ABRTZ,eberts
ABSAVY,abshawe
ABSLVM,absalom
ABT,abbot
ABVL,abul
ABYT,abbett abbot
ADALYA,adalia
ADAMTZ,adametz
ADLMN,adalma
ADMYRAL,admiral
ADPT,adept
ADRYA,adria
ADRYNV,adriano
ADSVYK,adcock
ADVARDS,edwards
ADVR,ador
ADYH,adie
ADYS,adis
ADZ,adas adis
AFRAYM,efrain ephraim
AGBRT,egbert
AGDN,ogden
AGL,agali akl
AGSVRN,agsorn
AGVLT,agoult
AGVSTYN,agustin augustyn
AGVTR,agutter
AGVYYRH,aguirre
AGYSA,agesa
AGYVADV,acevedo
AJLN,ajlun
AKAR,akar
AKBR,akbar
AKLA,okla
AKRT,ackeret
AKRZ,akers
AKSPRS,aspens jaspers
ALAYRH,allaire
ALBVM,albom
ALDHFRA,aldhafra
ALDYN,alden
ALFARD,alford
ALFLD,alfeld
ALFNR,elfner
ALGAL,algal
ALGAY,algae
ALJH,allah alpha elijah
ALK,alok
ALKSANDRV,alesandro
ALKSY,alexy alice alisa alyce
ALKVYYTZ,elkowitz
ALMA,alma
ALMAN,allman
ALMVDYNA,almudena
ALMYRA,almira
ALNA,alana
ALPAYN,alpine
ALRAYT,elroys
ALS,als
ALSBRY,elsberry
ALSTVN,alston
ALSVVRS,alstons alsworth
ALTH,alioth alta althea alto
ALTRNYTLY,alternately
ALVM,albom
ALVN,alvin
ALVTHBA,alwathba
ALVYTZ,alvins
ALYAS,alias
ALYN,allyn alwyn
ALYPSVYD,ellipsoid
ALYS,alec alecs alexs alias alisa allyz alwis alyce alyssa alyx
ALYSVN,alyson
ALYT,aleut
ALZA,elza
AMANSYV,amancio
AMANVYLH,emanuele emanuels
AMAY,amai amway
AMLMAN,allman
AMLYN,emlen
AMPLYV,empleo
AMPRVR,emperor
AMRN,amran
